English Name,English District,Best Arabic Match,Match Score,Cand1,Cand1_Lat,Cand1_Score,Cand2,Cand2_Lat,Cand2_Score,Cand3,Cand3_Lat,Cand3_Score
Haouche El-Kannabé,Rachiaya,راشيا حي الكواسبه,50.0,راشيا حي الكواسبه,حوشي El كنبه,50.0,راشيا حي الفوقا,حوشي El كانبي,42.857142857142854,راشيا حي الميدان,حوشي El كانبي,41.666666666666664
Kfar Dinès,Rachiaya,دير العشائر,55.55555555555556,دير العشائر,كفار دينس,55.55555555555556,راشيا حي الفوقا,كفار ديناس,50.0,كفرقوق,كفر دنس,46.15384615384615
Kfar Kouk,Rachiaya,كفرقوق,66.66666666666666,كفرقوق,كفر كق,66.66666666666666,كفردنيس,كفر كك,46.15384615384615,الروضة,كفار كوك,42.857142857142854
litige,Rachiaya,عين التينه,53.333333333333336,عين التينه,لتيجي,53.333333333333336,الخياره,ليتجه,50.0,مشغره التحتا,لتجه,37.5
Mohaïdcé,Rachiaya,محيدثه,72.72727272727272,محيدثه,محدقه,72.72727272727272,مشغره التحتا,مهدك,28.57142857142857,مشغره الفوقا,مهدك,28.57142857142857
Nabi Safa,Rachiaya,كفردنيس,46.15384615384615,كفردنيس,نبي صف,46.15384615384615,راشيا حي الفوقا,نابي صفا,43.47826086956522,راشيا حي الكواسبه,ناب صفا,42.10526315789474
Rachaya El-Wadi,Rachiaya,راشيا حي الفوقا,76.92307692307692,راشيا حي الفوقا,راشيا El وادي,76.92307692307692,راشيا حي الكواسبه,راشيا El وادي,76.92307692307692,راشيا حي الميدان,راشيا El وادي,76.92307692307692
Al-Djeziré,West Bekaa,الخياره,46.15384615384615,الخياره,Al جزيره,46.15384615384615,مشغره التحتا,Al جذره,35.294117647058826,مشغره الفوقا,Al جذره,35.294117647058826
Al-Istable,West Bekaa,راشيا حي الكواسبه,47.61904761904762,راشيا حي الكواسبه,Al اسطبله,47.61904761904762,الخياره,Al اسطبله,37.5,الشبرقية,Al اسطبلي,35.294117647058826
Al-Khiara,West Bekaa,الخياره,66.66666666666666,الخياره,Al خيار,66.66666666666666,دير العشائر,Al خيار,37.5,الروضة,Al خيرة,36.36363636363637
"Ammik et ""Jouret Ammik""",West Bekaa,عين التينه,31.25,عين التينه,"عميق ات ""Jouret Ammik""",31.25,راشيا حي الميدان,"اميك اية ""Jouret Ammik""",30.769230769230774,السلطان يعقوب الفوقا,"عمق ات ""Jouret Ammik""",27.02702702702703
"Chouberkié ""Ammik""",West Bekaa,الشبرقية,44.44444444444444,الشبرقية,"شبرق ""Ammik""",44.44444444444444,دير العشائر,"شبارق ""Ammik""",36.36363636363637,مشغره التحتا,"شبرقه ""Ammik""",34.78260869565217
Dair Tahmiche,West Bekaa,عين التينه,63.1578947368421,عين التينه,دعير تهميشه,63.1578947368421,دير العشائر,دير تهمش,58.8235294117647,راشيا حي الميدان,داير تهميش,46.15384615384615
Deir-Aïn-el-Jaouzé,West Bekaa,عين التينه,54.54545454545455,عين التينه,دير عين el جوزي,54.54545454545455,دير العشائر,دير عاين el جاوز,51.851851851851855,راشيا حي الكواسبه,دير عاين el جاوزه,47.05882352941177
Harime-el-Soughra,West Bekaa,راشيا حي الفوقا,44.44444444444444,راشيا حي الفوقا,حريم el صغرا,44.44444444444444,راشيا حي الميدان,حريم el صغرا,42.857142857142854,راشيا حي الكواسبه,حريم el صغرا,41.37931034482759
Khiara-el-Atika,West Bekaa,الخياره,55.55555555555556,الخياره,خيار el اتق,55.55555555555556,دير العشائر,خير el عاتكة,47.61904761904762,راشيا حي الفوقا,خيرا el اتق,46.15384615384615
Machghara,West Bekaa,الشبرقية,57.142857142857146,الشبرقية,ماشغرة,57.142857142857146,مشغره التحتا,مشغر,57.142857142857146,مشغره الفوقا,مشغر,57.142857142857146
n.a. (4),West Bekaa,عين التينه,50.0,عين التينه,,50.0,السلطان يعقوب الفوقا,,40.0,راشيا حي الميدان,,40.0
